Point ID,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,k,nut,omega,p
56,-0.0385257,0.0318712,0,0.05,1.10504,1.32517,3.64E-19,1.72545,0.0946681,0,88102.2,-1.77848
55,-0.0380203,0.0324724,0,0.05,1.13725,1.32099,-1.34E-19,1.74309,0.0967332,0,88109.5,-2.14099
54,-0.0375056,0.0330656,0,0.05,1.16862,1.31501,1.68E-19,1.75924,0.0986599,0,88116.4,-2.50264
53,-0.0369816,0.0336506,0,0.05,1.19904,1.30721,-3.40E-19,1.77384,0.100439,0,88122.6,-2.86289
52,-0.0364484,0.0342274,0,0.05,1.22842,1.29764,-1.56E-18,1.78686,0.102061,0,88128.3,-3.22121
51,-0.0359063,0.0347956,0,0.05,1.25665,1.28628,-1.73E-18,1.79825,0.103518,0,88133.5,-3.57704
50,-0.0353553,0.0353553,0,0.05,1.28365,1.27319,7.22E-20,1.80797,0.1048,0,88138,-3.92984
49,-0.0347956,0.0359063,0,0.05,1.30931,1.25837,1.59E-18,1.81598,0.105898,0,88141.9,-4.27904
48,-0.0342274,0.0364484,0,0.05,1.33354,1.24185,1.71E-18,1.82223,0.106806,0,88145,-4.62406
47,-0.0336506,0.0369816,0,0.05,1.35623,1.22365,1.55E-18,1.82665,0.10751,0,88147.5,-4.96434
46,-0.0330656,0.0375056,0,0.05,1.37726,1.20382,2.54E-19,1.82922,0.108011,0,88149.3,-5.29931
45,-0.0324724,0.0380203,0,0.05,1.39653,1.18238,-2.89E-19,1.82984,0.108274,0,88150.2,-5.62839
44,-0.0318712,0.0385257,0,0.05,1.41388,1.15935,-1.31E-18,1.82843,0.108268,0,88150.2,-5.95104
43,-0.0312621,0.0390215,0,0.05,1.42921,1.13476,-1.31E-18,1.82492,0.108022,0,88149.4,-6.26667
42,-0.0306454,0.0395078,0,0.05,1.44243,1.10869,0,1.81928,0.107542,0,88147.7,-6.57467
41,-0.030021,0.0399842,0,0.05,1.45344,1.08118,-1.51E-18,1.81147,0.106817,0,88145.1,-6.87439
40,-0.0293893,0.0404508,0,0.05,1.46214,1.05229,1.64E-18,1.80144,0.105842,0,88141.7,-7.16523
39,-0.0287503,0.0409075,0,0.05,1.46842,1.02211,4.79E-18,1.78912,0.104626,0,88137.4,-7.44658
38,-0.0281042,0.041354,0,0.05,1.47214,0.990696,3.35E-18,1.77445,0.103185,0,88132.2,-7.71786
37,-0.0274511,0.0417904,0,0.05,1.47321,0.958094,1.48E-18,1.75735,0.101493,0,88126.3,-7.97846
36,-0.0267913,0.0422164,0,0.05,1.47147,0.924381,2.07E-18,1.73773,0.0995105,0,88119.3,-8.22775
