"U:0","U:1","U:2","k","nut","omega","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.29887,-1.3205e-05,0,0.0034635,9.98e-09,86966,-2.2828,1,0.1836,0.1336,0.05001,0
0.29901,-1.291e-05,0,0.0034641,9.9543e-09,86966,-2.2818,1,0.1839,0.1339,0.05001,0
0.29916,-1.2615e-05,0,0.0034646,9.9285e-09,86966,-2.2808,1,0.1842,0.1342,0.05001,0
0.2993,-1.2321e-05,0,0.0034652,9.9027e-09,86966,-2.2798,1,0.1845,0.1345,0.05001,0
0.29944,-1.2026e-05,0,0.0034658,9.877e-09,86966,-2.2788,1,0.1848,0.1348,0.05001,0
0.29958,-1.1872e-05,0,0.0034662,9.852e-09,86966,-2.2778,1,0.1851,0.1351,0.05001,0
0.29971,-1.1767e-05,0,0.0034667,9.8273e-09,86966,-2.2768,1,0.1854,0.1354,0.05001,0
0.29984,-1.1661e-05,0,0.0034671,9.8027e-09,86966,-2.2758,1,0.1857,0.1357,0.05001,0
0.29997,-1.1556e-05,0,0.0034675,9.778e-09,86966,-2.2748,1,0.186,0.136,0.05001,0
0.30011,-1.1451e-05,0,0.0034679,9.7533e-09,86966,-2.2738,1,0.1863,0.1363,0.05001,0
0.30024,-1.1346e-05,0,0.0034683,9.7286e-09,86966,-2.2729,1,0.1866,0.1366,0.05001,0
0.30036,-1.1322e-05,0,0.0034687,9.7045e-09,86966,-2.2719,1,0.1869,0.1369,0.05001,0
0.30048,-1.1373e-05,0,0.003469,9.6808e-09,86966,-2.271,1,0.1872,0.1372,0.05001,0
0.3006,-1.1423e-05,0,0.0034693,9.6571e-09,86966,-2.27,1,0.1875,0.1375,0.05001,0
0.30073,-1.1473e-05,0,0.0034695,9.6334e-09,86966,-2.2691,1,0.1878,0.1378,0.05001,0
0.30085,-1.1524e-05,0,0.0034698,9.6097e-09,86966,-2.2682,1,0.1881,0.1381,0.05001,0
0.30097,-1.1574e-05,0,0.0034701,9.5861e-09,86966,-2.2672,1,0.1884,0.1384,0.05001,0
0.30109,-1.1598e-05,0,0.0034704,9.5626e-09,86966,-2.2663,1,0.1887,0.1387,0.05001,0
0.3012,-1.1547e-05,0,0.0034705,9.5398e-09,86966,-2.2654,1,0.189,0.139,0.05001,0
0.30131,-1.1496e-05,0,0.0034707,9.5169e-09,86966,-2.2645,1,0.1893,0.1393,0.05001,0
0.30142,-1.1445e-05,0,0.0034709,9.4941e-09,86966,-2.2636,1,0.1896,0.1396,0.05001,0
0.30153,-1.1394e-05,0,0.003471,9.4712e-09,86966,-2.2627,1,0.1899,0.1399,0.05001,0
0.30164,-1.1343e-05,0,0.0034712,9.4484e-09,86966,-2.2618,1,0.1902,0.1402,0.05001,0
0.30175,-1.1291e-05,0,0.0034713,9.4256e-09,86966,-2.2609,1,0.1905,0.1405,0.05001,0
0.30185,-1.1083e-05,0,0.0034714,9.4035e-09,86966,-2.26,1,0.1908,0.1408,0.05001,0
0.30194,-1.0866e-05,0,0.0034714,9.3814e-09,86966,-2.2592,1,0.1911,0.1411,0.05001,0
